public_building_id,SHAP_Projected_Area,SHAP_Height,SHAP_Plot_Ratio,SHAP_Effective_Age,SHAP_Mean_Age_Score,SHAP_Pop_Density,SHAP_Price,SHAP_Fee,SHAP_EUI,base_value
SHB_4f131e21a1fad1f9,0.2203956,-0.119988374,-0.12762779,-0.07897207,-0.6257372,-0.001461599,-0.7554383,0.00240775,0.059062477,-3.9755917
SHB_ac6c358c8f452112,0.17254597,-0.12574576,-0.019517701,-0.23240916,-0.3708724,0.17644304,-0.3465889,-0.075035304,0.33306432,-3.9755917
SHB_6cc2758a62d37a54,0.08477437,-0.11782917,-0.43572596,-0.15957646,-0.28732228,-1.206686,-0.16682579,-0.1231402,-0.37227637,-3.9755917
SHB_15d7b1e19055cae9,-0.107723475,-0.30824775,-0.010803099,0.11940469,-0.12600237,0.12479277,-1.1863564,-0.03888458,-0.17198816,-3.9755917
SHB_3768ed916c8605ec,-1.9487085,-0.28440973,-0.22307916,-0.07488444,-0.6207665,-0.14044128,-0.047039196,-0.19890442,-0.27800903,-3.9755917
SHB_55fe1f08195f54bc,0.19860259,-0.031275645,-0.30055058,-0.29685804,-0.1507387,-0.4278419,-0.14800799,-0.13050371,-0.24721314,-3.9755917
SHB_12f98a1171273770,0.20445059,0.6264326,0.07602037,-0.08831662,0.13649559,-0.30050895,0.06905653,0.00027253712,-0.09735833,-3.9755917
SHB_68ca37b2dfc99a60,0.41573986,-0.18709674,-0.14986023,-0.18524359,-0.15968187,-0.6588009,-0.08239479,-0.049314477,-0.31520966,-3.9755917
SHB_d9158e6a73615821,-0.07831532,0.06167367,0.08628368,0.30486012,-0.8571222,-0.43802848,0.020370672,0.02650211,0.013115737,-3.9755917
SHB_c791b1c855b76d72,-2.427621,-0.14253025,0.026000421,-0.047828775,-0.20743105,0.14183928,0.0001305876,0.12629715,0.055713333,-3.9755917
SHB_2ab26d930afec61a,0.12544961,0.6074357,0.043293525,-0.05580149,0.28405815,-0.09143115,0.19977172,0.048944976,0.008551046,-3.9755917
SHB_b2863e4c2f079ad0,0.41874325,-0.23735079,0.08875616,0.19702071,0.6009189,0.38259012,-0.3866803,0.05004784,-0.100419246,-3.9755917
SHB_aba80629ef031e84,0.2390181,-0.24155346,-0.12662104,-0.08492781,-0.77279156,-0.0038943905,-0.04391136,0.02869371,0.20232973,-3.9755917
SHB_19ee122096fcad71,0.06307785,0.121131875,-0.06544464,-0.08068243,-0.15415125,-0.33024526,-0.24879244,-0.18575953,0.118151076,-3.9755917
SHB_167bdaf6feaf4fdb,-1.1550946,-0.16812877,0.0022822712,-0.042222057,0.060456112,0.31098142,0.14141542,-0.018485282,0.17432271,-3.9755917
SHB_89e4348a625cc4ff,0.054206382,0.2308609,-0.23982644,0.016159402,0.1304298,-0.27710927,-0.012920915,-0.065853305,-0.18188486,-3.9755917
SHB_1372a6fb8a69e63b,-2.017647,-0.12946445,-0.109881036,0.2395577,-0.2437125,0.15102766,0.1428809,-0.023565505,0.15247118,-3.9755917
SHB_e577f1ded5d35459,0.1854777,-0.06739517,0.030374624,0.029254353,-0.041611984,-0.06357847,-0.60836554,-0.059782952,0.027318493,-3.9755917
SHB_d9c38bcbf6d2d1d4,0.58367664,0.39649504,0.14997739,0.10673036,-0.09156154,-0.009525245,-0.0022049337,-0.14263403,-0.036157887,-3.9755917
SHB_73be1f628d196ac8,-1.2073286,-0.114817955,-0.031265568,0.23906407,1.2067975,-0.20539838,0.09688192,0.027150314,-0.21688208,-3.9755917
SHB_1e42d39ec68aa068,0.3367912,-0.22625802,0.031037293,-0.162033,-0.08789161,-0.28934735,0.02873322,0.1398448,-0.06257631,-3.9755917
SHB_9641380689f13244,1.3533667,-0.11067741,0.2725645,0.07996013,0.7343769,1.0444396,0.019925097,0.2175317,0.2208171,-3.9755917
SHB_07decdee9940c530,0.124289855,-0.17620954,-0.16988419,0.029552305,-0.007445384,0.23118208,-0.23081782,-0.011635145,-0.31834608,-3.9755917
SHB_45bb4af105754140,0.027824212,-0.18401903,0.09096821,-0.0036291406,-0.10949035,-0.15558088,0.47554564,0.08796739,-0.034035712,-3.9755917
SHB_96a049b669a2623c,0.23434518,0.21025112,0.09793204,0.1250675,-0.1925468,0.68227106,-0.077931195,-0.17672963,0.031248929,-3.9755917
SHB_ad55864f15a1a064,1.2051989,-0.056247395,0.053731263,-0.028216578,-0.13989644,1.0704229,0.19301939,0.07910871,0.2685477,-3.9755917
SHB_12df96342bff6399,-0.62899286,-0.2034137,-0.1407986,-0.028786894,-0.4009181,-0.25493553,-0.479125,-0.098216414,-0.24030705,-3.9755917
SHB_965e0c5f0357b6ef,-1.7745957,-0.18063684,-0.062274214,0.28132653,0.16336013,-0.30031636,-0.55293876,-0.062202122,-0.19029957,-3.9755917
SHB_a3ab5b8468371a31,0.90618116,0.5049977,0.17498492,0.25929302,0.645531,0.79464835,0.03891489,-0.05181149,0.21071292,-3.9755917
SHB_a84f49320eb857cd,-2.0016868,-0.10661133,-0.21026127,-0.24339513,-0.66674405,0.08884243,-0.16401494,-0.034479264,-0.16991249,-3.9755917
SHB_8d12b9d1d693fc7c,-2.2477767,-0.2635462,-0.25525504,-0.18923126,-0.64757985,-0.030824494,-0.20371549,0.25673208,-0.23671007,-3.9755917
SHB_df58409b6556c884,0.36567715,0.24706596,0.11494898,-0.25855452,0.46052736,-0.46514568,0.03177212,-0.07999465,-0.05309446,-3.9755917
SHB_58da2f6db0cde0e3,0.793555,-0.22698554,-0.44655278,-0.20610698,0.17250942,-0.11293604,-0.07279557,-0.39450824,0.07500938,-3.9755917
SHB_8f51d25ce97989e5,0.05516036,-0.014108751,-0.15179566,-0.09913293,0.22367153,-0.40165842,0.38620907,-0.0083711585,0.22642839,-3.9755917
