precision,recall,threshold
0.019450447669033654,0.9895287958115183,0.0003159666375722736
0.019452449567723344,0.9895287958115183,0.0003160663472954184
0.019454451878538344,0.9895287958115183,0.0003162460052408278
0.01945645460160593,0.9895287958115183,0.0003168534894939512
0.019458457737053434,0.9895287958115183,0.0003177658945787698
0.019460461285008238,0.9895287958115183,0.00031865114578977227
0.019462465245597776,0.9895287958115183,0.00031890245736576617
0.019464469618949536,0.9895287958115183,0.0003191768191754818
0.01946647440519106,0.9895287958115183,0.00031967685208655894
0.01946847960444994,0.9895287958115183,0.00031990918796509504
0.019470485216853815,0.9895287958115183,0.0003200229548383504
0.019472491242530393,0.9895287958115183,0.00032029428984969854
0.01947449768160742,0.9895287958115183,0.0003205949324183166
0.019476504534212697,0.9895287958115183,0.00032188580371439457
0.01947851180047408,0.9895287958115183,0.00032241252483800054
0.01948051948051948,0.9895287958115183,0.0003226625267416239
0.019482527574476858,0.9895287958115183,0.00032356634619645774
0.019484536082474226,0.9895287958115183,0.00032409641426056623
0.019486545004639654,0.9895287958115183,0.0003255053306929767
0.019488554341101257,0.9895287958115183,0.00032608149922452867
0.01949056409198721,0.9895287958115183,0.00032636080868542194
0.019492574257425743,0.9895287958115183,0.00032642489532008767
0.019494584837545126,0.9895287958115183,0.0003270612796768546
0.019496595832473696,0.9895287958115183,0.0003270759480074048
0.019498607242339833,0.9895287958115183,0.00032717949943616986
0.019500619067271976,0.9895287958115183,0.0003284649283159524
0.019502631307398616,0.9895287958115183,0.0003284777922090143
0.019506657033749614,0.9895287958115183,0.0003291231987532228
