recall,precision
1.0,0.0011550796753187484
1.0,0.0011550833107772105
1.0,0.001155086946258557
1.0,0.0011550905817627878
1.0,0.0011550942172899035
1.0,0.001155097852839904
1.0,0.001155105124008561
1.0,0.0011551087596272179
1.0,0.001155116030933189
1.0,0.0011551342095986303
1.0,0.0011551378454003796
1.0,0.0011551414812250166
1.0,0.0011551451170725413
1.0,0.0011551487529429538
1.0,0.0011551523888362549
1.0,0.001155156024752444
1.0,0.0011551596606915221
1.0,0.0011551669326383446
1.0,0.0011551705686460897
1.0,0.0011551742046767243
1.0,0.0011551778407302487
1.0,0.0011551814768066629
1.0,0.0011551851129059673
1.0,0.0011551887490281621
1.0,0.0011551996575320906
1.0,0.0011552542031421655
1.0,0.0011552614762793654
1.0,0.0011552651128823078
1.0,0.001155276022828506
1.0,0.00115527965952303
1.0,0.00115528329624045
1.0,0.0011552869329807662
1.0,0.001155294206530088
1.0,0.0011553014801709972
1.0,0.0011553051170257976
1.0,0.0011553087539034955
1.0,0.001155312390804091
1.0,0.0011553160277275847
1.0,0.0011553233016432663
0.997275204359673,0.0011521789088299087
0.997275204359673,0.0011521825359348734
0.997275204359673,0.0011521861630626746
0.997275204359673,0.0011521897902133126
0.997275204359673,0.0011521934173867876
0.997275204359673,0.0011521970445830998
0.997275204359673,0.0011522006718022496
0.997275204359673,0.001152211553596726
0.997275204359673,0.0011522151809072278
0.997275204359673,0.0011522188082405682
0.997275204359673,0.0011522224355967473
0.997275204359673,0.0011522333178023195
0.997275204359673,0.0011522369452498559
0.997275204359673,0.00115225508283014
0.997275204359673,0.0011522659656523998
0.997275204359673,0.0011522695933055026
0.997275204359673,0.0011522949875168043
0.997275204359673,0.0011522986153526475
0.997275204359673,0.0011523167548745203
0.997275204359673,0.00115233126690322
0.997275204359673,0.0011523385230546416
0.997275204359673,0.0011523457792974468
0.997275204359673,0.001152349407453119
0.997275204359673,0.0011523530356316375
0.997275204359673,0.0011523566638330027
0.997275204359673,0.001152360292057215
0.997275204359673,0.0011523639203042744
0.997275204359673,0.0011523675485741814
0.997275204359673,0.0011523711768669357
0.997275204359673,0.0011523748051825381
0.997275204359673,0.0011523784335209883
0.997275204359673,0.001152382061882287
0.997275204359673,0.001152385690266434
0.997275204359673,0.0011523893186734298
0.997275204359673,0.0011523965755559683
0.997275204359673,0.0011524002040315116
0.997275204359673,0.0011524110895952393
0.997275204359673,0.0011524183467519751
0.997275204359673,0.001152447376292961
0.997275204359673,0.0011524546339067268
0.997275204359673,0.0011524618916119037
0.997275204359673,0.001152465520498772
0.997275204359673,0.0011524691494084935
0.997275204359673,0.001152472778341069
0.997275204359673,0.0011524764072964981
0.997275204359673,0.0011524872942999113
0.997275204359673,0.0011524945524164598
0.997275204359673,0.0011525018106244293
0.997275204359673,0.001152516327314637
0.997275204359673,0.0011525235857968788
0.997275204359673,0.0011525272150722848
0.997275204359673,0.001152530844370548
0.997275204359673,0.0011525344736916688
0.997275204359673,0.001152538103035647
0.997275204359673,0.0011525417324024826
0.997275204359673,0.0011525526206401392
0.997275204359673,0.0011525562500984082
0.997275204359673,0.001152559879579536
0.997275204359673,0.001152563509083523
0.997275204359673,0.0011525780273280658
0.997275204359673,0.0011525889162515037
0.997275204359673,0.0011526143245396629
0.997275204359673,0.001152621584256323
0.997275204359673,0.0011526252141489468
0.997275204359673,0.0011526288440644337
0.997275204359673,0.0011526324740027839
0.997275204359673,0.0011526361039639974
0.997275204359673,0.0011526397339480746
0.997275204359673,0.0011526469939848202
0.997275204359673,0.0011526506240374895
0.997275204359673,0.0011526578842114214
0.997275204359673,0.0011526615143326847
0.997275204359673,0.0011526651444768129
0.997275204359673,0.0011526687746438065
0.997275204359673,0.0011526724048336655
0.997275204359673,0.001152686925821762
0.997275204359673,0.0011526941864530087
0.997275204359673,0.001152701447175724
0.997275204359673,0.0011527123384313033
0.997275204359673,0.001152715968895566
0.997275204359673,0.0011527195993826967
0.997275204359673,0.001152723229892696
0.997275204359673,0.001152726860425564
0.997275204359673,0.0011527304909813012
0.997275204359673,0.001152745013432944
0.997275204359673,0.001152752274795985
0.997275204359673,0.001152755905511811
0.997275204359673,0.001152759536250508
0.997275204359673,0.0011527740594340068
0.997275204359673,0.0011527776902870606
0.997275204359673,0.0011527849520617842
0.997275204359673,0.0011527885829834546
0.997275204359673,0.0011528212623077843
0.997275204359673,0.001152824893458191
0.997275204359673,0.0011528321558276296
0.997275204359673,0.0011528357870466614
0.997275204359673,0.0011528394182885688
0.997275204359673,0.0011528539434849578
0.997275204359673,0.0011528575748412458
0.997275204359673,0.0011528612062204108
0.997275204359673,0.0011528648376224525
0.997275204359673,0.0011528684690473715
0.997275204359673,0.001152879363459394
0.997275204359673,0.0011528866265151324
0.997275204359673,0.0011528902580773192
0.997275204359673,0.0011528938896623849
0.997275204359673,0.001152901152901153
0.997275204359673,0.001152904784554856
0.997275204359673,0.0011529084162314384
0.997275204359673,0.0011529120479309009
0.997275204359673,0.0011529156796532432
0.997275204359673,0.0011529447342556892
0.997275204359673,0.0011530210095549527
